term
-Tok
-cel
-gem
/ay
/dev/null
/rant
1FTR
4eva
4tran
AFAICS
AFAYK
AOLbonics
ATP
ATW
AV
BITD
Ballmer Peak
Black Friday
Bread Santa
CU
Canadian healthcare
China's final warning
Cuckistan
Curse of Binding
DAE
DBEYR
DFTBA
DFTT
DFW
DNFTT
DNGAF
DYOFDW
Democreep
Discord kitten
Dumbocrap
Duolingo
EDKH
EOR
ERP
Endless September
Epstein regime
FFS
FSVO
FTR
FTW
FYF
FinX
Fr*nch
GDrive
GGP
GIF
GIFable
GIYF
GPhotos
GRB
GSites
GTFO
Gbooks
Gnusmas
Godwin's law
Groktard
HRU
HTH
Himothy
HitlerFan1488
I did Nazi that coming
IDC
IDGAF
IGTG
IINM
IKWYM
IMPOV
IYKWIM
Insta
Intertubes
JMHO
Kirkmas
LEL
LFS
LMAOOL
LMBO
LMK
LMNO
LN
LOLWUT
LOLsuit
LTNS
LWK
Leaf
MDNI
Mumsnutter
NMIK
NSOH
Nazi bar
Negro Felon League
No Nut November
OAG
Ola hu Uber
PDF file
Pentagram
R.I.P. in peace
RMHHer
ROFLMAO
ROFLMGDMFAO
ROMFFLMMFAO
ROTFL
ROTFLMMFAO
RUOK
Refucklican
Roman Empire
Rose Twitter
Russiaball
SFAICT
SLBSTM
STHU
SYFM
SYGAU
Sinkie pwn Sinkie
Somalicoon
Spiders Georg
TBPH
TFS
TIFU
TLDR
TOMT
TTD
TWDT
TWSS
TYOOL
TYVM
Timmy Tough Knuckles
Too Cool
Turd Worlder
Twitterature
WMSL
WTB
WTFDYM
WTH
WTS
WTT
WUU2
Wikipedia food
Windvocate
Wintroll
Xhitter
YMBJ
Yapanese
YouPube
YouTube Poop
ai;dr
alt.revisionist
angery
anhero
ape
arigathanks
b3tan
band kid
basketball American
baww
bbg
bby
bcoz
big if true
bikisser
bog
boypreggers
branigger
brick up
brimstone
bun
chapri
chee
chonk up
chuddy
chudette
churn
clip farm
compromise to a permanent end
cool arrow
coomer
crack
crapflooder
crash dummy
creepypasta
crode
cumbrain
darksided
deredere
did the journal factory explode
dieversity
distro
diva
do someone a frighten
dog food
don't real
doom
duckroll
egofaggotry
eh
environmental storytelling
epeen
epic fail
epsteinuinely
ept
evar
failson
fapkin
fedpost
fetus deletus
flamebait
fml
fn
fopsy
forced meme
forever alone
foruming
freep
freeze peach
fscking
fsr
fw heavy
fye
gayge
gayslop
generational lock-in
ggp
glizzy guzzler
go outside
go piss girl
goals
goober
goon cave
goynip
grt
guacward
haet
hat
heccin
heccin'
help
hoers
hornypost
iceberg video
ik
imbecilification
inch resting
ingame
internet
ionk
it's all over my screen
it's everywhere
janitor
jannie
jartycuck
jeetification
join4join
karma whore
kbity
kill file
kino
kitteh
klansmasc
knowledgemaxx
l8rs
lala bop
leet
leetness
ligma
llamah
lolbertarian
lolmao
lulztastic
lurk moar
lyk
lyrics
malewife
mangler
many such cases
meatpuppet
megapost
melty
memeability
millennial cringe
minimod
mlem
moa
moonmoon
mujeet
my b
nab
nb
nd
no 🧢
nona
novideo
nuke
nvr
obvs
omegalul
on Jah
orange site
orite
osm
ouiaboo
owtte
pass the phone
pdoc
pedobait
permaban
pesbian lorn
phonepost
pin of shame
plant parent
plompy
plug walk
plzthx
pro max
proly
promptard
psyop
pure cancer
put the fries in the bag
pwned
race communism
racedep
rage comic
rape ape
rb
reichturd
rent-free
roachification
roffle
sad
sadge
samefag
schwifty
seggsy
sesbian lex
sewerslidal
shemmycuck
shibe
shitfight
shitposty
shrimple
sigeon
skong
slide into the DMs
slopper
sloptimized
slurmcore
smol
snippectomy
snivel rights
soy banter
soyboi
spiritually Israeli
squirt
sry
sthu
studygram
subtwt
succdem
swim
taste
teaboo
teen
terrorism
thamk
the struggle is real
theorycel
tin skin
tmrw
top kek
tourist
transvestigation
troid
trululu
trumed
unaliver
unfappable
ungoonable
unpog
urselves
vegana
vro
wapanese
wbu
westoid
wifejak
wrecked
wru
wud
wym
wys
yday
yeen
yfm
ytf
zero bomb
zoobait
